id,type,short_name
street_170,CALLE,CUATRO
street_171,PASAJE,CUESTA EL MELON
street_172,PASEO,CUESTA EL MELÓN
street_173,CALLE,CURAMILLA
street_174,CALLE,CURANIPE
street_175,PASAJE,DAGOBERTO GODOY
street_176,PASAJE,DELFOS
street_177,AVENIDA,DIAGONAL ORIENTE
street_178,PASAJE,DIAGONAL ORIENTE
street_179,CALLE,DIAGONAL ORIENTE
street_180,CALLE,DIAGONAL SUAREZ MUJICA
street_181,PASAJE,DIAGONAL SUAREZ MUJICA
street_182,PASAJE,DICHATO
street_183,AVENIDA,DIEGO DE ALMAGRO
street_184,PASAJE,DIEGO DE ALMAGRO
street_185,PASAJE,DIEGO DE ALMAGRO INTERIOR
street_186,CALLE,DIEGO SOTOMAYOR
street_187,CALLE,DOCTOR AGUSTIN ANDRADE
street_188,PASAJE,DOCTOR AGUSTIN ANDRADE
street_189,CALLE,DOCTOR ALEJANDRO DEL RIO
street_190,PASAJE,DOCTOR JOHOW
street_191,CALLE,DOCTOR JOHOW
street_192,CALLE,DOCTOR LUIS BISQUERT
street_193,CALLE,DOCTOR MAMERTO CADIZ
street_194,PASAJE,DOCTOR PEDRO CALVO BARROS
street_195,PASAJE,DOCTOR PEDRO LAUTARO FERRER
street_196,AVENIDA,DOCTOR PEDRO LAUTARO FERRER
street_197,CALLE,DOCTOR PEDRO LAUTARO FERRER
street_198,PASAJE,DOMINGO FAUSTINO SARMIENTO
street_199,CALLE,DOMINGO FAUSTINO SARMIENTO
street_200,CALLE,DOMINGO TORO HERRERA
street_201,PASAJE,DOS
street_202,CALLE,DR. PARMENIO YAÑEZ ANDRADE
street_203,PASAJE,DUBLE ALMEYDA
street_204,CALLE,DUBLE ALMEYDA
street_205,AVENIDA,DUBLE ALMEYDA
street_206,PASAJE,ECHEÑIQUE
street_207,AVENIDA,ECHEÑIQUE
street_208,CALLE,EDUARDO CASTILLO VELASCO
street_209,PASAJE,EDUARDO CASTILLO VELASCO
street_210,CALLE,EDUARDO DONOSO
street_211,CALLE,EDUARDO LLANOS
street_212,PASAJE,EGAÑA
street_213,PASAJE,EL ALMENDRAL
street_214,CALLE,EL ANCLA
street_215,CALLE,EL BARON
street_216,PASAJE,EL CASTILLO
street_217,CALLE,EL COBRE
street_218,PASAJE,EL COBRE
street_219,PASAJE,EL FARO
street_220,CALLE,EL GALLITO
street_221,CALLE,EL GRUMETE
street_222,CALLE,EL MERCANTE
street_223,CALLE,EL OIDOR
street_224,CALLE,EL TATIO
street_225,CALLE,EL VIGIA
street_226,CALLE,ELIAS DE LA CRUZ
street_227,PASAJE,ELIECER PARADA
street_228,CALLE,ELIECER PARADA
street_229,CALLE,ELIODORO FLORES
street_230,PASAJE,EMILIA TELLEZ
street_231,CALLE,EMILIA TELLEZ
street_232,PASAJE,EMILIA TELLEZ INTERIOR
street_233,CALLE,EMILIO VAISSE
street_234,PASAJE,ENRIQUE BRAVO
street_235,CALLE,ENRIQUE RICHARD
street_236,PASAJE,EPIRO
street_237,CALLE,ERNESTO ANSARD
street_238,PASAJE,ERNESTO COURTOIS
street_239,PASAJE,ESCUDO DE ARMAS
street_240,CALLE,ESPRONCEDA
street_241,PASAJE,ESPRONCEDA
street_242,CALLE,ESTACION PIRQUE
street_243,CALLE,ESTRELLA SOLITARIA
street_244,PASAJE,ESTRELLA SOLITARIA
street_245,CALLE,EUDOSIA VICUÑA
street_246,CALLE,EUGENIO GARIN
street_247,PASAJE,EUGENIO NAVARRETE
street_248,CALLE,EXEQUIEL FERNANDEZ
street_249,PASAJE,EXEQUIEL FERNANDEZ
street_250,CALLE,EXEQUIEL FIGUEROA
street_251,CALLE,FACUNDO
street_252,CALLE,FENELON
street_253,CALLE,FERNANDEZ CONCHA
street_254,CALLE,FIDIAS
street_255,PASAJE,FIDIAS
street_256,CALLE,FLORENCIO GARCIA
street_257,PASAJE,FOLO
street_258,CALLE,FRANCISCO DE PAULA
street_259,AVENIDA,FRANCISCO DE VILLAGRA
street_260,PASAJE,FRANCISCO DE VILLAGRA
street_261,CALLE,FRANCISCO MENESES
street_262,CALLE,FRANCISCO MOLINA
street_263,CALLE,FRANCISCO SOLANO ASTABURUAGA
street_264,CALLE,GALICIA
street_265,PASAJE,GALICIA
street_266,CALLE,GARCIA MORENO
street_267,PASAJE,GARCIA MORENO
street_268,CALLE,GARCIA VALENZUELA
street_269,CALLE,GARIBALDI
street_270,PASAJE,GASPAR MORA
street_271,CALLE,GASPAR VILLARROEL
street_272,CALLE,GENERAL BOONEN RIVERA
street_273,AVENIDA,GENERAL BUSTAMANTE
street_274,CALLE,GENERAL DUNHAN
street_275,PASAJE,GENERAL FLORES
street_276,PASAJE,GENERAL GOROSTIAGA
street_277,CALLE,GENERAL GOROSTIAGA
street_278,CALLE,GENERAL MIRANDA
street_279,CALLE,GENERAL PEDRO PABLO DARTNELL
street_280,CALLE,GERONA
street_281,CALLE,GIRARDI
street_282,PASAJE,GIRON DE LAS PALMAS
street_283,CALLE,GRACIELA
street_284,CALLE,GRANADA
street_285,AVENIDA,GRECIA
street_286,CALLE,GRECIA
street_287,PASAJE,GRECIA
street_288,PASAJE,GRECIA INTERIOR
street_289,CALLE,GRECIA INTERIOR
street_290,CALLE,GUADALQUIVIR
street_291,PASAJE,GUARQUEN
street_292,CALLE,GUARQUEN
street_293,CALLE,GUGGENHEIN
street_294,CALLE,GUILLERMO FRANKE
street_295,PASAJE,GUILLERMO MANN
street_296,AVENIDA,GUILLERMO MANN
street_297,CALLE,HAENDEL
street_298,PASAJE,HAMBURGO
street_299,CALLE,HAMBURGO
street_300,PASAJE,HANNOVER
street_301,CALLE,HANNOVER
street_302,PASAJE,HANNOVER INTERIOR
street_303,CALLE,HERIBERTO COVARRUBIAS
street_304,PASAJE,HERNAN CORTES
street_305,AVENIDA,HERNAN CORTES
street_306,CALLE,HERNANDO DE AGUIRRE
